"sampno","beta","tshift","desired_mode","viral_peak","obs_sd","true_0","intercept","LOD","limit_quantification","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,-0.0989906086586416,2,2,6.47578539513052,4.92649179929867,-3,40,3,2,5,29.8700059624389,8.94085636618547,42.5028646271676,0.0478246679971926,1,-2262.55752539001
11,-0.0234231663074114,2,2,6.36014656388726,5.06943908731918,-3,40,3,2,5,29.9280191869886,8.93457654242177,42.5265567217795,0.0977727174688239,1,-2157.05188318478
21,-0.0234231663074114,2,2,6.33292602314971,5.06943908731918,-3,40,3,2,5,29.9268673808657,8.93457654242177,42.6359891904722,0.144495919843093,1,-2155.19756779169
31,-0.0234231663074114,2,2,6.33292602314971,5.06943908731918,-3,40,3,2,5,29.9608678452964,8.93457654242177,42.6960950622385,0.168533959944828,1,-2155.24094797798
41,-0.0234231663074114,2,2,6.31155729368347,5.09715289990128,-3,40,3,2,5,29.839812414992,8.78575113518029,42.8532454426868,0.168533959944828,1,-2141.07040258771
51,0.0493917926770692,2,2,6.31155729368347,5.38462670408673,-3,40,3,2,5,29.9377878365347,8.88642099790673,42.9075366605923,0.0373708953238141,1,-2077.72505287294
61,0.0493917926770692,2,2,6.27232741747745,5.41067692278582,-3,40,3,2,5,29.7374543470868,8.79771919498831,42.9086108547093,0.0373708953238141,1,-2072.16651117531
71,0.0493917926770692,2,2,6.28977917177097,5.51500383812662,-3,40,3,2,5,29.7776856898701,8.70047356022216,43.0804897360658,0.0723330798212443,1,-2067.52675949239
81,0.0493917926770692,2,2,6.19846346593352,5.51701630908454,-3,40,3,2,5,29.7121660027517,8.70047356022216,43.0654259601824,0.0723330798212443,1,-2062.90269393298
91,0.0829374571970231,2,2,6.19846346593352,5.61275085888652,-3,40,3,2,5,29.7508029504872,8.55709753539682,43.0288505612641,0.0723330798212443,1,-2052.28775136672
101,0.0829374571970231,2,2,6.19846346593352,5.61275085888652,-3,40,3,2,5,29.7014866014475,8.50387923730548,43.0107243070709,0.112987599333898,1,-2052.62799705079
111,0.0763834538368195,2,2,6.15223811627097,5.95468252384105,-3,40,3,2,5,29.91181382496,8.47581191259011,42.4814490541604,0.0510547127045319,1,-2038.71176316038
121,0.0803968069047653,2,2,6.03629031560046,5.92274247831943,-3,40,3,2,5,29.9876489950422,8.47469791691261,42.3335786947783,0.0362928083434149,1,-2036.61277614195
131,0.0841014468385193,2,2,5.86019650440915,6.03736454732122,-3,40,3,2,5,29.5057250241104,8.52894563088577,40.739366127925,0.0362928083434149,1,-2027.95511764339
141,0.0791112389956847,2,2,5.83530421123521,6.03482611294044,-3,40,3,2,5,29.2955335481895,8.44600241075329,39.6335779435029,0.0362928083434149,1,-2026.31091634413
151,0.0791112389956847,2,2,5.73231098547357,6.0355301416,-3,40,3,2,5,29.3563872076564,8.43343936909702,39.9785741674914,0.0362928083434149,1,-2024.88897793195
161,0.0501599206491084,2,2,5.66735017580158,6.0355301416,-3,40,3,2,5,29.1317905576945,8.2460112964676,38.0007101585478,0.0362928083434149,1,-2021.39203243961
171,0.063377695694838,2,2,5.48979754735595,6.24673519576943,-3,40,3,2,5,27.7646740341135,8.19831917770545,38.2789894234865,0.0362928083434149,1,-2010.86942182122
181,0.063377695694838,2,2,5.48392274878212,6.24673519576943,-3,40,3,2,5,27.7491188721735,8.31116591093622,38.3762904824333,0.0362928083434149,1,-2010.31598336562
191,0.063377695694838,2,2,5.45173098456928,6.21456118033971,-3,40,3,2,5,27.6829557629299,8.28672318913261,38.5788577035493,0.0406089355489779,1,-2010.6378484035
201,0.063377695694838,2,2,5.4809592850394,6.24397634286849,-3,40,3,2,5,27.8959688768109,8.38162672999073,39.9166700934213,0.0406089355489779,1,-2011.14284400701
211,0.063377695694838,2,2,5.4809592850394,6.34821757352301,-3,40,3,2,5,27.8959688768109,8.38162672999073,25.2641324494015,0.00655764943736672,1,-2007.3975672594
221,0.0616838415787724,2,2,5.13734748265876,6.48143153747065,-3,40,3,2,5,24.6937154111464,8.26008608623686,25.2641324494015,0.00655764943736672,1,-1995.59300486544
231,0.0616838415787724,2,2,5.13734748265876,6.50457298311533,-3,40,3,2,5,23.9634913982485,8.26008608623686,25.2641324494015,0.00655764943736672,1,-1994.43500980384
241,0.0502062569480312,2,2,4.97137634240386,6.50151388010897,-3,40,3,2,5,23.3100223694963,8.26008608623686,25.2641324494015,0.0591089071037865,1,-1992.45374049499
251,0.0502062569480312,2,2,4.73658824113214,6.79116318457261,-3,40,3,2,5,21.4410767515338,8.10850834559773,34.2562659121671,0.141676959703129,1,-1983.47328768467
261,0.0502062569480312,2,2,4.73658824113214,7.1078003953474,-3,40,3,2,5,17.5841736631957,8.10850834559773,32.902180920316,0.172124394196984,1,-1978.38831264932
271,0.0502062569480312,2,2,3.991886361935,7.1078003953474,-3,40,3,2,5,10.4946813293889,8.10850834559773,21.5199978201992,0.115477517613909,1,-1974.99877651389
281,0.0651564641175485,2,2,4.0711616110078,6.98054895750716,-3,40,3,2,5,10.4946813293889,8.10334820606203,21.5199978201992,0.0320348780778872,1,-1975.56325320875
291,0.00306793876971936,2,2,4.47776580378033,6.98034433724011,-3,40,3,2,5,8.54748923278867,8.10334820606203,21.5199978201992,0.0320348780778872,1,-1975.76594740729
301,-0.0103967206766727,2,2,4.09183417860986,6.98034433724011,-3,40,3,2,5,11.198963132059,7.92553176651925,21.5199978201992,0.0320348780778872,1,-1975.41526385613
311,0.0106173353449995,2,2,3.30844352521809,6.98034433724011,-3,40,3,2,5,11.198963132059,7.88290843985438,21.5199978201992,0.0514750975292446,1,-1974.12962448471
321,0.00456919889509745,2,2,3.17016277776087,7.04944373269885,-3,40,3,2,5,16.0311283342825,7.88290843985438,34.5255694974713,0.170337817342654,1,-1967.97178684479
331,0.0118391113127282,2,2,3.19370258825685,7.06131703337928,-3,40,3,2,5,16.0311283342825,7.75478447470936,33.6777539949114,0.163838134992718,1,-1968.11908690108
341,0.0118391113127282,2,2,2.86288584855686,7.06131703337928,-3,40,3,2,5,16.440847647346,7.75478447470936,36.4154973020493,0.131107771656235,1,-1967.64224694688
351,0.0118391113127282,2,2,2.86288584855686,7.06131703337928,-3,40,3,2,5,16.440847647346,7.75478447470936,36.4154973020493,0.170510553842962,1,-1967.82751933035
361,-0.0157487443379863,2,2,2.63029548240702,7.27308413737996,-3,40,3,2,5,16.440847647346,7.83697594368066,36.4154973020493,0.170510553842962,1,-1966.39373775593
371,-0.0284854974449527,2,2,2.63029548240702,7.27308413737996,-3,40,3,2,5,21.7662573159213,7.78975650937727,34.5442883634192,0.27573744222187,1,-1968.12186615753
381,-0.0284854974449527,2,2,1.58632549837056,7.27308413737996,-3,40,3,2,5,18.3099145015589,7.64449146563379,30.0591682589325,0.278514880642408,1,-1965.32091811274
391,-0.0284854974449527,2,2,1.71427613586909,7.12798389218591,-3,40,3,2,5,16.3726892645964,7.74352056890721,31.2182584103006,0.253804598265088,1,-1965.61760376475
401,-0.0284854974449527,2,2,0.699524203531898,7.60628936853102,-3,40,3,2,5,11.7064052770984,7.82420583704476,24.4871221048344,0.248888646208254,1,-1965.558393847
411,0.00856437081843529,2,2,2.09221175058139,7.3909126813362,-3,40,3,2,5,11.2903675278437,7.82420583704476,25.1359771617636,0.248888646208254,1,-1965.31018307391
421,0.00856437081843529,2,2,2.60764436528004,7.29315043584797,-3,40,3,2,5,11.2903675278437,7.61153653397363,25.4880829209974,0.248888646208254,1,-1967.48261831463
431,0.00856437081843529,2,2,2.60764436528004,7.45370142961635,-3,40,3,2,5,11.2903675278437,7.61153653397363,33.8064963230137,0.248888646208254,1,-1964.21167976184
441,0.00856437081843529,2,2,1.25670229732542,7.45370142961635,-3,40,3,2,5,8.40505384244365,7.61153653397363,33.8064963230137,0.323471295071182,1,-1965.51815785601
451,0.00856437081843529,2,2,1.25670229732542,7.45370142961635,-3,40,3,2,5,12.5789597395461,7.59366348470028,33.8064963230137,0.121493614385759,1,-1963.43015963613
461,0.00856437081843529,2,2,2.36222659541632,7.45416372378487,-3,40,3,2,5,15.8757682415709,7.59366348470028,31.0613981285329,0.251791376604482,1,-1965.43052134086
471,0.00856437081843529,2,2,2.27544457952009,7.45416372378487,-3,40,3,2,5,15.8757682415709,7.56052895850036,34.545214068149,0.095933803783601,1,-1963.65094831834
481,0.00856437081843529,2,2,1.40704219665844,7.63112940127594,-3,40,3,2,5,14.6097549474302,7.61633897408978,34.545214068149,0.0685109834771269,1,-1962.05915686534
491,0.00856437081843529,2,2,1.34308842808757,8.04093078433324,-3,40,3,2,5,14.6097549474302,7.61633897408978,34.545214068149,0.226723506268123,1,-1960.32381258008
501,-0.0174883049320439,2,2,2.07981873621272,8.28759092513913,-3,40,3,2,5,14.6097549474302,7.1312286007291,34.545214068149,0.226723506268123,1,-1958.3837678322
511,-0.0174883049320439,2,2,2.07981873621272,8.37317099899314,-3,40,3,2,5,14.7389260174919,7.2403860160511,34.545214068149,0.226723506268123,1,-1956.8223733682
521,-0.0185828754839931,2,2,2.3558694192402,9.37606575528603,-3,40,3,2,5,14.7389260174919,7.16867746037822,32.553778801089,0.226723506268123,1,-1953.05587368282
531,-0.0922533981038781,2,2,2.9357551178156,9.13858601945343,-3,40,3,2,5,11.595809773763,7.16867746037822,28.4202696961354,0.226723506268123,1,-1957.47100381359
541,-0.0202445961945029,2,2,2.9357551178156,8.99730285279809,-3,40,3,2,5,12.468536507731,7.16867746037822,25.4359303717691,0.189570720616148,1,-1954.81536894526
551,-0.0559656989701007,2,2,1.27687610157375,9.06409231266217,-3,40,3,2,5,14.4476641383221,7.16867746037822,27.3786662524186,0.189570720616148,1,-1953.9858553873
561,-0.027977178777603,2,2,0.487609481248415,9.06409231266217,-3,40,3,2,5,13.7725257543987,7.06719473897618,27.3786662524186,0.169381267090773,1,-1953.64880845558
571,-0.0100886651090946,2,2,0.709263366900545,9.06409231266217,-3,40,3,2,5,13.7725257543987,7.13437543149921,27.3786662524186,0.169381267090773,1,-1954.18494413331
581,-0.0361942268584582,2,2,0.709263366900545,9.06409231266217,-3,40,3,2,5,17.1535044799616,7.20440060792512,27.3786662524186,0.169381267090773,1,-1954.0734913733
591,-0.0419657094803855,2,2,1.35630701218761,9.40757479488895,-3,40,3,2,5,12.2681779885425,7.20440060792512,27.9487212239568,0.316596140077508,1,-1955.15313463779
601,-0.0419657094803855,2,2,1.35630701218761,9.15121024291766,-3,40,3,2,5,11.1125448426224,6.82969017652914,27.9487212239568,0.316596140077508,1,-1954.45845458531
