"sampno","beta","tshift","desired_mode","viral_peak","obs_sd","true_0","intercept","LOD","limit_quantification","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,0.0584274801425636,2,2,3.7222009934485,5.18195838411339,-3,40,3,2,5,12.3769405065104,12.2613884194288,38.9157833810896,0.0666590082505718,1,-984.213037998866
11,0.173360556233827,2,2,3.53238746470105,5.19251382654204,-3,40,3,2,5,12.3769405065104,12.130778142499,38.9233158137314,0.0666590082505718,1,-899.530954875615
21,0.290158414790798,2,2,3.50644828016655,5.19251382654204,-3,40,3,2,5,12.4000489004622,11.9599255804359,38.8090822548074,0.274300477014993,1,-866.589253565045
31,0.361559606535987,2,2,3.48713283337029,5.32870287262405,-3,40,3,2,5,12.3479556277175,11.7936057671583,38.8311131039252,0.180947629304059,1,-859.130821604607
41,0.361559606535987,2,2,3.48713283337029,5.20263452532703,-3,40,3,2,5,12.1785914221082,11.74652838282,38.8667277733745,0.118032759668986,1,-857.012952094553
51,0.289396458789766,2,2,3.53974705286363,5.07067156002166,-3,40,3,2,5,12.1953020006321,11.74652838282,38.7228568960839,0.105156945645174,1,-858.262683374905
61,0.289396458789766,2,2,3.57037925407194,4.96257723739604,-3,40,3,2,5,12.1152987576283,11.74652838282,38.5405044252992,0.105156945645174,1,-858.363028383987
71,0.322373949296986,2,2,3.59544976002072,4.82644354317136,-3,40,3,2,5,12.1963106267676,11.7171930339109,38.5402082746931,0.0521559594078637,1,-855.26855929294
81,0.322373949296986,2,2,3.4587332961964,4.85743725938762,-3,40,3,2,5,12.2443583790343,11.7171930339109,38.5504216720429,0.0479854046296546,1,-854.572491309334
91,0.358240876353712,2,2,3.39890021702439,5.06899554980561,-3,40,3,2,5,12.3036545127222,11.7017077815173,38.3998585288873,0.0479854046296546,1,-854.485948366776
101,0.35209760035866,2,2,3.36448377733697,5.04626333964666,-3,40,3,2,5,12.4272734234929,11.6131263286787,38.4456185636693,0.0479854046296546,1,-851.500440472535
