"sampno","beta","tshift","desired_mode","viral_peak","obs_sd","true_0","intercept","LOD","limit_quantification","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,-0.0244036019159335,2,2,8.84490038985694,5.44713327981223,-3,40,3,2,5,16.7100475793562,3.53253858757176,27.6241020133417,0.000211536066818653,1,-125.131981694355
11,-0.0244036019159335,2,2,8.84490038985694,5.44713327981223,-3,40,3,2,5,16.7100475793562,3.53253858757176,27.6241020133417,0.000211536066818653,1,-125.131981694355
21,-0.0244036019159335,2,2,8.84490038985694,5.44713327981223,-3,40,3,2,5,16.7100475793562,3.53253858757176,27.6241020133417,0.000211536066818653,1,-125.131981694355
31,-0.0244036019159335,2,2,8.84490038985694,5.44713327981223,-3,40,3,2,5,16.7100475793562,3.53253858757176,27.6241020133417,0.000211536066818653,1,-125.131981694355
41,-0.0244036019159335,2,2,8.84490038985694,5.44713327981223,-3,40,3,2,5,16.7100475793562,3.53253858757176,27.6241020133417,0.000211536066818653,1,-125.131981694355
51,-0.0244036019159335,2,2,8.84490038985694,5.44713327981223,-3,40,3,2,5,16.7100475793562,3.53253858757176,27.6241020133417,0.000211536066818653,1,-125.131981694355
61,-0.0244036019159335,2,2,8.84490038985694,5.44713327981223,-3,40,3,2,5,16.7100475793562,3.53253858757176,27.6241020133417,0.000211536066818653,1,-125.131981694355
71,-0.0737874217294951,2,2,9.78596010494304,6.79264309888915,-3,40,3,2,5,14.7232020988359,3.8460129542025,26.9768213789868,0.000528924527646641,1,-126.977005915472
81,-0.0737874217294951,2,2,9.78596010494304,6.79264309888915,-3,40,3,2,5,14.7232020988359,3.8460129542025,26.9768213789868,0.000528924527646641,1,-126.977005915472
91,-0.0737874217294951,2,2,9.78596010494304,6.79264309888915,-3,40,3,2,5,14.7232020988359,3.8460129542025,26.9768213789868,0.000528924527646641,1,-126.977005915472
101,-0.0855321651654084,2,2,9.75635640222891,6.82044127694185,-3,40,3,2,5,12.6049232424746,3.74329212328893,31.5640447726909,0.127089246242108,1,-128.624816133679
111,-0.113472862138241,2,2,10.1670843800353,7.70195340630169,-3,40,3,2,5,16.6349542215753,3.85252502153548,28.5013339577878,0.00971772794861923,1,-128.411899642352
121,-0.113472862138241,2,2,10.1670843800353,7.70195340630169,-3,40,3,2,5,16.6349542215753,3.85252502153548,28.5013339577878,0.00971772794861923,1,-128.411899642352
131,0.00337304674044703,2,2,8.25233769650407,6.89539666324124,-3,40,3,2,5,12.0610107714603,3.3542682536261,30.5093232575752,0.0489089064841194,1,-127.951607548431
141,-0.0725073662604541,2,2,7.56538683083659,8.07785727121841,-3,40,3,2,5,16.9786726589775,3.63584015767821,30.1383987135123,0.0971699560311197,1,-128.787029573506
