"sampno","beta","tshift","desired_mode","viral_peak","obs_sd","true_0","intercept","LOD","limit_quantification","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,0.000694575308661169,2,2,9.04852749804365,6.67521060890302,-3,40,3,2,5,15.4294045249759,3.66456826602193,30.5148321210193,0.0035763559257225,1,-9.19279389350744
11,-0.146834880411484,2,2,10.2835841185916,5.7893532179653,-3,40,3,2,5,15.0782393676914,3.99507223794941,31.9585984134637,0.166430256698243,1,-11.4154836705936
21,0.0434088582574613,2,2,13.5321024212641,5.17057804528729,-3,40,3,2,5,15.5462507360489,3.59628021198172,27.5559276761445,0.00331838009516935,1,-11.0218788829052
31,0.0434088582574613,2,2,13.5321024212641,5.17057804528729,-3,40,3,2,5,15.5462507360489,3.59628021198172,27.5559276761445,0.00331838009516935,1,-11.0218788829052
41,-0.16436465439502,2,2,10.6443220206545,6.95732743111912,-3,40,3,2,5,18.0022194508381,3.91825305353151,33.7877580098053,0.0970855108636619,1,-11.210392325922
51,-0.105487282123487,2,2,13.1220848900928,7.4538862396549,-3,40,3,2,5,17.3340006989285,3.07295206359842,37.265470513396,0.0429058335461215,1,-13.1917279777412
61,-0.354414747019921,2,2,7.94473195302418,6.97517678984889,-3,40,3,2,5,20.9055028927438,3.44722793508497,33.1528558134298,0.110185857075714,1,-12.6942622462562
71,0.0185811231876962,2,2,6.96496372313951,6.30429706828854,-3,40,3,2,5,16.8472175609217,4.37052991330803,36.0683126939402,0.04275146522421,1,-11.4903619523548
81,-0.123365066854609,2,2,6.81939231392137,7.15690198040591,-3,40,3,2,5,17.1668585371126,3.8452384118578,37.2692351072468,0.118653852775324,1,-12.0389584589843
91,-0.0742773474622312,2,2,9.23446538271277,9.97089968102892,-3,40,3,2,5,14.9356988855951,4.40267578265558,35.5967869223442,0.0335452576679254,1,-13.292332166488
101,-0.0742773474622312,2,2,9.23446538271277,9.97089968102892,-3,40,3,2,5,14.9356988855951,4.40267578265558,35.5967869223442,0.0335452576679254,1,-13.292332166488
111,0.458362889357095,2,2,10.5427200395811,8.68177797944974,-3,40,3,2,5,16.7755241637512,3.569227081429,29.5217485792715,0.52214279634748,1,-16.6701343020673
121,0.261169320807417,2,2,9.51461172609114,8.37410774699132,-3,40,3,2,5,15.3766332080321,3.11523190770352,31.2870082981389,0.653501692987347,1,-18.6017023059019
131,0.0730217478660163,2,2,9.11218303795588,6.48513161326567,-3,40,3,2,5,13.1309591127078,3.05673708398478,37.2445752036379,0.487773595759031,1,-16.6483406357016
141,-0.0427778000711067,2,2,6.81616323862409,8.94509098703308,-3,40,3,2,5,12.2582496248714,4.10094485395979,28.6123840935268,0.453070165777985,1,-16.1157790348011
151,-0.0595224428066613,2,2,7.39048638255418,8.0287139603451,-3,40,3,2,5,14.1250933822056,3.70182782588701,35.1748287724001,0.0997980548375163,1,-11.6450194418708
161,-0.360798388744823,2,2,4.80577243890881,6.67809184042823,-3,40,3,2,5,12.7525351780142,3.69749315687478,36.1441400255002,0.216054973770761,1,-14.1669458033455
171,-0.133327936957164,2,2,10.2788286487745,3.99468612836548,-3,40,3,2,5,12.5329040605621,3.32787306404707,39.1421543296558,0.208399919019435,1,-15.0865494164068
181,-0.0689551102321585,2,2,11.2212640017891,4.60716245710628,-3,40,3,2,5,14.4765105231971,3.88495904943754,29.4424233514996,0.309068998952701,1,-13.1103102088409
191,-0.11917801216889,2,2,11.4272642473703,5.55415483301908,-3,40,3,2,5,19.1815909265582,3.83009446408608,29.9395118894291,0.328453141960799,1,-13.4039369908544
201,-0.128463698054448,2,2,8.34132589172201,3.86768966115378,-3,40,3,2,5,20.5855870866664,3.6193289244256,24.6407229693572,0.222228817686563,1,-14.0776769994669
