"sampno","beta","tshift","desired_mode","viral_peak","obs_sd","true_0","intercept","LOD","limit_quantification","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,-0.0827842724509537,2,2,8.6071670204401,8.24380160938017,-3,40,3,2,5,12.7944113640115,13.9962114514783,35.9369133133441,0.0728996982239187,1,-229.950059600778
11,-0.156009196279665,2,2,8.55935062823658,8.34997367486825,-3,40,3,2,5,12.9148303271829,13.9962114514783,35.9865729507522,0.0728996982239187,1,-229.630004231025
21,-0.182320584976654,2,2,8.60017314458459,8.45863849079753,-3,40,3,2,5,12.9870886795389,13.9721580231768,36.0620085459407,0.00121883624520754,1,-226.970878279234
31,-0.0212741488658379,2,2,8.64437450235619,8.40896078544518,-3,40,3,2,5,12.9435683986891,13.9851288024617,36.0279476633276,0.136282497223955,1,-230.263354910811
41,-0.0566165616560084,2,2,8.53324190462121,8.29688051311835,-3,40,3,2,5,12.9516160988213,13.9108718682714,35.8667594456902,0.0640672825758083,1,-226.319951834693
51,-0.130577159723837,2,2,8.52945203272421,8.16697953485029,-3,40,3,2,5,13.1247072774902,13.8303188309415,35.7790768936924,0.0640672825758083,1,-222.604327134105
61,-0.139378331704714,2,2,8.53122026617321,8.33311416492648,-3,40,3,2,5,13.1540474308346,13.5852921877711,35.7877253320254,0.0640672825758083,1,-212.706909579261
71,-0.217913506506717,2,2,8.63487173919843,8.38393303046188,-3,40,3,2,5,13.0493256237048,13.3454261453088,35.8105038337862,0.0740499045505866,1,-203.092650831065
81,-0.111427195308632,2,2,8.79633329592677,8.39862202513828,-3,40,3,2,5,13.1929176506374,13.169211724563,35.8750300403158,0.0457237345071722,1,-196.31376888426
91,-0.160646578619961,2,2,8.71380976264234,8.41000984713679,-3,40,3,2,5,13.2477545014042,13.169211724563,35.6666176004118,0.0457237345071722,1,-196.0230267421
101,-0.0715545412201966,2,2,8.71955873081843,8.41909703499512,-3,40,3,2,5,13.2080395983229,13.061468471647,35.7188276684654,0.0319152903182595,1,-192.122847766437
111,-0.0715545412201966,2,2,8.99879404198879,8.41909703499512,-3,40,3,2,5,10.5347466393739,12.7570288240106,35.7188276684654,0.0319152903182595,1,-181.671666195609
121,-0.100245627988897,2,2,8.99879404198879,8.41909703499512,-3,40,3,2,5,10.5347466393739,12.7570288240106,28.2553910100536,0.0319152903182595,1,-180.334419809203
131,-0.100245627988897,2,2,8.99879404198879,6.90203884928747,-3,40,3,2,5,11.3719933367712,12.7570288240106,28.2553910100536,0.0319152903182595,1,-179.372683660499
141,-0.273782373817301,2,2,8.99879404198879,4.87422189076411,-3,40,3,2,5,11.3719933367712,12.7570288240106,23.9190757637507,0.0319152903182595,1,-178.399884202976
151,-0.297907922307732,2,2,10.1710650953446,7.92706243318452,-3,40,3,2,5,11.3719933367712,12.7570288240106,23.9190757637507,0.058515602837823,1,-179.576379195081
161,-0.297907922307732,2,2,10.1710650953446,7.92706243318452,-3,40,3,2,5,11.3719933367712,12.7570288240106,23.9190757637507,0.0385610510970546,1,-179.305880008524
171,-0.278202370174351,2,2,11.2053029606531,7.92706243318452,-3,40,3,2,5,13.6531577498407,12.4400430461231,25.8068644355334,0.0358409984432499,1,-167.501342514606
181,-0.278202370174351,2,2,11.2053029606531,4.06097241807721,-3,40,3,2,5,13.6531577498407,12.4400430461231,26.3642586003848,0.0358409984432499,1,-167.357742840172
191,0.0224394173166826,2,2,6.0235859838996,7.94449978071535,-3,40,3,2,5,13.4622931492344,12.1331378716164,33.0262054466221,0.0358409984432499,1,-158.061404589702
201,0.0224394173166826,2,2,5.638397170292,7.30541513628279,-3,40,3,2,5,16.1139334129379,11.8990348617911,42.0485960787698,0.0358409984432499,1,-152.440462880152
211,0.0224394173166826,2,2,5.638397170292,9.7848091180931,-3,40,3,2,5,14.7596017380575,11.5110648846489,40.1150170129407,0.0806765483668837,1,-141.065603292719
221,-0.0435135500238017,2,2,5.638397170292,9.58402391365566,-3,40,3,2,5,14.7596017380575,11.5110648846489,40.1150170129407,0.0806765483668837,1,-141.202936612847
231,-0.0435135500238017,2,2,10.0665404043318,9.58402391365566,-3,40,3,2,5,12.1148857414987,11.0740300137416,38.8013251545349,0.0693710989947871,1,-127.721248732339
241,-0.0435135500238017,2,2,10.0665404043318,8.39010603126373,-3,40,3,2,5,12.1148857414987,11.0740300137416,38.8013251545349,0.0515536779308593,1,-126.669844002006
251,0.0923036112666196,2,2,7.11899801884718,6.78579238622479,-3,40,3,2,5,12.1148857414987,10.8353018654493,38.8013251545349,0.0339781895297071,1,-118.644216692757
261,0.0923036112666196,2,2,7.11899801884718,6.78579238622479,-3,40,3,2,5,12.1148857414987,10.8289558348143,30.2837718107397,0.0339781895297071,1,-116.849489548393
271,-0.218787823205097,2,2,11.449366293729,9.06173673918683,-3,40,3,2,5,12.1148857414987,10.7103260832657,28.5969877734695,0.0339781895297071,1,-113.765750012024
281,-0.218787823205097,2,2,10.3545937467168,9.06173673918683,-3,40,3,2,5,16.5665310448329,10.7103260832657,24.2957562345891,0.0324854144717078,1,-113.622907390736
291,-0.335917836721928,2,2,10.3545937467168,1.96457894112701,-3,40,3,2,5,14.3894750247668,10.7629845511391,23.0501122362187,0.0324854144717078,1,-114.317042375704
301,-0.205806923971277,2,2,6.96019557894089,1.96457894112701,-3,40,3,2,5,12.8287650935876,10.7629845511391,23.0501122362187,0.0130380116794829,1,-114.727531723099
311,-0.380896904873762,2,2,7.36896841779702,6.81724258023203,-3,40,3,2,5,14.1911582053184,10.7629845511391,23.0501122362187,0.0130380116794829,1,-113.348646948456
321,-0.465692495749474,2,2,7.71729478831893,6.81724258023203,-3,40,3,2,5,12.5584626154569,10.4616130150467,23.0501122362187,0.0130380116794829,1,-105.282010404384
331,-0.499169586141871,2,2,5.05313478740259,6.81724258023203,-3,40,3,2,5,12.4806681488491,10.3574083096345,29.2440425185946,0.0306514131563884,1,-103.08557186939
341,0.218957059631396,2,2,5.05313478740259,6.81724258023203,-3,40,3,2,5,17.9738429352777,10.3825182665896,29.2440425185946,0.0306514131563884,1,-103.008790806746
351,0.15180066643645,2,2,5.05313478740259,6.81724258023203,-3,40,3,2,5,21.6637392477793,10.3825182665896,32.9903518172245,0.088171538029489,1,-105.381996750269
361,0.273745807790941,2,2,4.14675505797033,9.04978186725235,-3,40,3,2,5,22.9915639758781,10.3086769589728,31.3765933404183,0.0236239865208582,1,-104.907226951695
371,0.273745807790941,2,2,4.14675505797033,8.69294936549977,-3,40,3,2,5,15.1901186929769,9.8654562438072,31.3765933404183,0.0236239865208582,1,-90.7345950456062
381,0.186269374019553,2,2,2.71490201067606,8.16510217580456,-3,40,3,2,5,18.683947591774,9.8654562438072,31.3765933404183,0.230227415466289,1,-93.4240308184094
391,-0.00256004662117598,2,2,3.17127931405745,8.16510217580456,-3,40,3,2,5,18.683947591774,9.7774612962931,28.0004364974856,0.230227415466289,1,-91.7135338401063
401,-0.00256004662117598,2,2,2.50631031938123,8.16510217580456,-3,40,3,2,5,18.683947591774,9.75663900432787,33.3397621240145,0.403219436539834,1,-93.3975265420897
411,0.256281300355598,2,2,2.33002836424032,4.26667777811179,-3,40,3,2,5,16.0468566458121,9.75663900432787,33.3397621240145,0.430331101382151,1,-92.92319215653
421,0.256281300355598,2,2,2.33002836424032,9.37859384337183,-3,40,3,2,5,16.0468566458121,9.75663900432787,33.3397621240145,0.416250704365753,1,-93.5774836875458
431,0.256281300355598,2,2,9.93987573648464,8.50507754894967,-3,40,3,2,5,16.0468566458121,9.75663900432787,33.3397621240145,0.389634202941619,1,-92.095405005888
441,0.256281300355598,2,2,8.48952685149787,8.50507754894967,-3,40,3,2,5,16.0468566458121,9.45618881215119,20.7949456468746,0.290945395391309,1,-84.9887524992483
451,0.256281300355598,2,2,8.48952685149787,8.50507754894967,-3,40,3,2,5,16.0468566458121,9.45618881215119,20.7949456468746,0.181837888710567,1,-84.0073536496965
461,-0.243844582971547,2,2,8.48952685149787,7.15642311450017,-3,40,3,2,5,16.5259071092714,9.03297119594468,24.1734780839286,0.181837888710567,1,-72.3254411537525
471,-0.243844582971547,2,2,8.48952685149787,5.82263996644901,-3,40,3,2,5,16.5259071092714,9.03297119594468,30.1424203611497,0.128845675821493,1,-70.9971930814917
481,-0.243844582971547,2,2,8.48952685149787,6.1815395345606,-3,40,3,2,5,16.5259071092714,8.90147373778793,30.1424203611497,0.218413536295911,1,-69.349745150039
491,-0.243844582971547,2,2,8.48952685149787,2.93576011283962,-3,40,3,2,5,17.4421041159495,8.60569710174013,19.6772809569495,0.135917424703067,1,-64.6293388275916
501,-0.360989913287889,2,2,6.20479540782796,3.43352143911973,-3,40,3,2,5,17.4421041159495,8.44777214290967,19.6772809569495,0.135917424703067,1,-61.3432385171209
511,-0.360989913287889,2,2,12.0653035313037,5.7750667561847,-3,40,3,2,5,20.9121200578428,7.97608526076781,19.6772809569495,0.0735385913020336,1,-53.4512656703085
521,-0.144639094925064,2,2,12.0653035313037,3.18958481661439,-3,40,3,2,5,19.1926625066031,7.63163046615963,19.6772809569495,0.0735385913020336,1,-47.7286204917025
531,-0.207248832516258,2,2,12.0653035313037,3.14838476558413,-3,40,3,2,5,19.8188733139179,7.3732879147734,31.3670156479554,0.0735385913020336,1,-42.1087571524102
541,-0.207248832516258,2,2,12.0653035313037,3.14838476558413,-3,40,3,2,5,19.8188733139179,7.34611409522152,34.030289994408,0.0735385913020336,1,-42.0839637983383
551,-0.207248832516258,2,2,12.0653035313037,1.407531798065,-3,40,3,2,5,20.7630094318788,7.34611409522152,24.2587545981585,0.0735385913020336,1,-44.0130639409679
561,-0.207248832516258,2,2,9.94876427745003,1.407531798065,-3,40,3,2,5,20.7630094318788,6.88774265420394,24.8492678251541,0.0735385913020336,1,-36.3457823603611
571,-0.207248832516258,2,2,10.7525503403732,1.407531798065,-3,40,3,2,5,20.7630094318788,6.87385001198417,27.7113220089471,0.00188238343146513,1,-34.6072542614477
581,-0.207248832516258,2,2,13.5116359313687,1.407531798065,-3,40,3,2,5,20.7630094318788,6.76800651464524,27.8730798389602,0.00188238343146513,1,-34.0412776670568
591,-0.207248832516258,2,2,14.293668848317,1.407531798065,-3,40,3,2,5,17.7953828027821,6.76800651464524,27.8730798389602,0.00188238343146513,1,-32.7652503992758
601,-0.0868271240642434,2,2,10.3938727803775,5.34457807584677,-3,40,3,2,5,17.7953828027821,6.25352068536977,27.5824602165806,0.00188238343146513,1,-24.8020240131889
611,0.0245275227633215,2,2,10.3938727803775,5.34457807584677,-3,40,3,2,5,17.7953828027821,6.25352068536977,27.5824602165806,0.00188238343146513,1,-25.7827651198986
621,0.0245275227633215,2,2,10.3938727803775,6.45146195350201,-3,40,3,2,5,17.7953828027821,5.98799678729083,22.8716078345546,0.00188238343146513,1,-24.0661037761671
631,-0.0961259238831024,2,2,10.3938727803775,3.91076213973819,-3,40,3,2,5,19.3977207752754,6.11291681935538,38.5242341160997,0.00188238343146513,1,-25.4094778914318
641,-0.347622861756756,2,2,10.1041953572017,8.49458261234045,-3,40,3,2,5,14.4284545930415,5.39497476353615,38.5242341160997,0.00188238343146513,1,-19.650921566048
651,-0.303869477964253,2,2,10.1041953572017,8.49458261234045,-3,40,3,2,5,11.7979780786118,5.11490726675273,34.9683298079871,0.00188238343146513,1,-17.6820541221121
661,0.0103032162761021,2,2,9.34879143690841,4.13294660377613,-3,40,3,2,5,11.7979780786118,4.98774614195591,34.9683298079871,0.00188238343146513,1,-16.5526416162826
671,0.0103032162761021,2,2,10.8343458905067,4.13294660377613,-3,40,3,2,5,16.4880538343864,3.74533609596923,34.9683298079871,0.00188238343146513,1,-13.4186138478278
681,-0.0582925529851211,2,2,10.8343458905067,4.13294660377613,-3,40,3,2,5,18.1699253643266,3.74533609596923,34.9683298079871,0.00188238343146513,1,-13.426557157824
691,0.00766456420146369,2,2,10.8343458905067,4.13294660377613,-3,40,3,2,5,15.3348540979045,3.73812491718004,34.9683298079871,0.00188238343146513,1,-13.4313526539712
701,0.00766456420146369,2,2,11.4032893917593,4.13294660377613,-3,40,3,2,5,17.0949560098834,3.45356633856294,30.5873165117836,0.00188238343146513,1,-13.5101822018949
711,-0.126403140842724,2,2,5.23068864977293,4.75499956701114,-3,40,3,2,5,17.0949560098834,3.45356633856294,30.5873165117836,0.00188238343146513,1,-13.2177886623844
721,-0.257049430357172,2,2,6.54274521950813,4.75499956701114,-3,40,3,2,5,16.6972845025224,4.08126879074565,32.5592498084171,0.00188238343146513,1,-12.5506825696221
731,-0.0741198298085246,2,2,2.10995235223035,4.75499956701114,-3,40,3,2,5,16.6972845025224,4.08126879074565,32.5592498084171,0.00188238343146513,1,-14.7369131378795
741,-0.0741198298085246,2,2,2.10995235223035,4.00389358092201,-3,40,3,2,5,16.6972845025224,4.08126879074565,32.8813953538022,0.00188238343146513,1,-15.5649193260148
751,-0.334592920352663,2,2,3.86337916664605,4.00389358092201,-3,40,3,2,5,17.5312214075508,4.08126879074565,32.8813953538022,0.00969548307626824,1,-15.1728217621523
761,-0.239884106966712,2,2,3.86337916664605,4.09882756154166,-3,40,3,2,5,17.5312214075508,4.47367014602713,32.8813953538022,0.00969548307626824,1,-15.1125913617512
771,-0.238204748996485,2,2,5.65391804560725,4.09882756154166,-3,40,3,2,5,17.5312214075508,4.47367014602713,32.8813953538022,0.00504662862153738,1,-14.0930761897036
781,-0.00801135825172355,2,2,5.65391804560725,4.09882756154166,-3,40,3,2,5,17.5312214075508,4.47367014602713,32.8813953538022,0.00504662862153738,1,-13.4784871904454
791,0.150162592452154,2,2,5.65391804560725,6.23815234441704,-3,40,3,2,5,16.1704155966605,4.64583656015547,32.8813953538022,0.00504662862153738,1,-13.9567676979228
801,0.094387610889268,2,2,5.65391804560725,6.23815234441704,-3,40,3,2,5,16.1704155966605,4.64583656015547,32.8813953538022,0.00504662862153738,1,-13.8852363977707
811,0.094387610889268,2,2,5.65391804560725,5.88788089866942,-3,40,3,2,5,16.1704155966605,4.64583656015547,30.1781871926178,0.00504662862153738,1,-13.6460652909158
821,0.0717139412065849,2,2,5.65391804560725,5.88788089866942,-3,40,3,2,5,16.1704155966605,4.64583656015547,30.5669231122575,0.00631847295975694,1,-13.6805741117771
831,0.0636189710884383,2,2,8.01018469406135,4.88474379170638,-3,40,3,2,5,17.8550075836299,4.32186883837531,30.5669231122575,0.0355399944080148,1,-13.6085872142063
841,-0.436946413810084,2,2,8.01018469406135,4.88474379170638,-3,40,3,2,5,17.8550075836299,3.48849370522854,26.8146773681071,0.0355958291074504,1,-14.1300040037796
851,-0.436946413810084,2,2,8.64721892533077,6.13598298556214,-3,40,3,2,5,17.8550075836299,3.48849370522854,28.6111410625842,0.058695374307131,1,-13.2017834546118
861,-0.436946413810084,2,2,8.64721892533077,5.59691011374288,-3,40,3,2,5,12.0488749218859,4.94907909562872,34.0899227781166,0.026105143668872,1,-16.3970902985228
871,-0.436946413810084,2,2,9.40265546215959,5.49758912391144,-3,40,3,2,5,11.4943503277983,4.15764746306114,30.2054562733366,0.00809981203964413,1,-13.7658680002446
881,-0.436946413810084,2,2,9.40265546215959,6.70614494133656,-3,40,3,2,5,11.6656675668237,4.15764746306114,36.512943019018,0.00809981203964413,1,-14.2216359892051
891,-0.436946413810084,2,2,7.03071675822096,6.48304188199045,-3,40,3,2,5,13.6401904111357,4.15764746306114,31.9235560388209,0.00415520040783093,1,-12.7485002077503
901,-0.436946413810084,2,2,7.03071675822096,6.40593793957809,-3,40,3,2,5,14.153028132754,4.15764746306114,30.9769989173761,0.000302934896641701,1,-12.0240137385963
911,-0.436946413810084,2,2,7.03071675822096,6.40593793957809,-3,40,3,2,5,14.153028132754,3.83671834545799,30.9769989173761,0.000302934896641701,1,-11.7507168692751
921,-0.436946413810084,2,2,10.5027181171841,5.50784908444927,-3,40,3,2,5,11.9949545536104,3.83671834545799,30.9769989173761,0.000302934896641701,1,-12.7219081450879
931,0.242014643197155,2,2,11.7440587950037,5.50784908444927,-3,40,3,2,5,12.2853914347209,3.53852782684367,25.2405600148629,0.000302934896641701,1,-14.4929580967632
941,0.264199014481493,2,2,10.3411185496033,5.50784908444927,-3,40,3,2,5,13.8443073320189,3.95771333025649,25.2405600148629,0.0110995857997855,1,-14.6010736066324
951,0.264199014481493,2,2,10.3411185496033,4.85158777098794,-3,40,3,2,5,16.0380097012561,4.2785732897786,25.2405600148629,0.0383149492574739,1,-15.8007895907338
961,-0.141411920121409,2,2,9.99024013695875,4.85158777098794,-3,40,3,2,5,15.5172047979088,4.2785732897786,25.2405600148629,0.0260218666024327,1,-13.4270258315675
971,-0.141411920121409,2,2,10.5387444282079,4.85158777098794,-3,40,3,2,5,19.586156983537,4.71416169033929,25.2405600148629,0.0260218666024327,1,-15.2446941995632
981,-0.303655345265657,2,2,10.5387444282079,4.79420537405768,-3,40,3,2,5,19.0005919528065,4.68189652652668,37.794906171731,0.0414945729776745,1,-15.8278324722296
991,-0.303655345265657,2,2,9.204758284712,6.36920490131705,-3,40,3,2,5,15.7875679799815,4.68189652652668,22.3866119059075,0.026825557521176,1,-15.0658080997465
1001,-0.15760672112206,2,2,9.38709240006476,6.36920490131705,-3,40,3,2,5,17.6157946649081,3.97393808124026,22.7239299358161,0.026825557521176,1,-13.3219370606197
1011,-0.0505238185513865,2,2,9.38709240006476,6.36920490131705,-3,40,3,2,5,17.6157946649081,3.97393808124026,37.9215973004616,0.0466706923815241,1,-13.9364838722133
1021,-0.0505238185513865,2,2,7.40208066878547,4.20066014966472,-3,40,3,2,5,18.2009184968939,3.26647956774509,37.9215973004616,0.0349486493273982,1,-15.057205723942
1031,-0.0505238185513865,2,2,7.40208066878547,5.34018431262824,-3,40,3,2,5,18.2009184968939,3.26647956774509,28.2931105652411,0.0327614087704528,1,-13.172950155727
1041,-0.0505238185513865,2,2,7.40208066878547,5.34018431262824,-3,40,3,2,5,12.5073465623915,3.26647956774509,28.2931105652411,0.00750433366683969,1,-13.353716501333
1051,-0.0505238185513865,2,2,9.71668226558857,5.34018431262824,-3,40,3,2,5,12.5073465623915,3.71393831302528,38.7483878659698,0.0192281893962829,1,-14.4680827882379
1061,0.122729697904725,2,2,9.71668226558857,4.62261881390011,-3,40,3,2,5,19.5753774738026,3.54162159853071,38.7483878659698,0.0108939849409084,1,-15.7723721493665
1071,0.122729697904725,2,2,9.71668226558857,4.62261881390011,-3,40,3,2,5,16.4093608166713,3.38589354823367,32.210951804934,0.0108939849409084,1,-13.6607038645915
1081,0.324986352201641,2,2,5.16282147817586,4.62261881390011,-3,40,3,2,5,16.4093608166713,3.38589354823367,34.1100162651563,0.0416313199556593,1,-13.3255283913882
1091,0.324986352201641,2,2,5.16282147817586,4.62261881390011,-3,40,3,2,5,10.766775102703,3.57418796184194,34.1100162651563,0.0695015271013266,1,-14.9868997456071
1101,0.174520721851061,2,2,5.16282147817586,4.62261881390011,-3,40,3,2,5,11.1531606454578,3.64504897943593,34.1100162651563,0.0814913066402177,1,-14.780835572798
