"sampno","beta","tshift","desired_mode","viral_peak","obs_sd","true_0","intercept","LOD","limit_quantification","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,0.0123557058576111,2,2,8.95515652483436,5.68013013072864,-3,40,3,2,5,15.04942513199,3.80175226939436,27.7550131940368,0.000460128452143094,1,-211.087637943034
11,0.0123557058576111,2,2,8.95515652483436,5.68013013072864,-3,40,3,2,5,15.04942513199,3.80175226939436,27.7550131940368,0.000460128452143094,1,-211.087637943034
21,0.0123557058576111,2,2,8.95515652483436,5.68013013072864,-3,40,3,2,5,15.04942513199,3.80175226939436,27.7550131940368,0.000460128452143094,1,-211.087637943034
31,0.0123557058576111,2,2,8.95515652483436,5.68013013072864,-3,40,3,2,5,15.04942513199,3.80175226939436,27.7550131940368,0.000460128452143094,1,-211.087637943034
41,0.0123557058576111,2,2,8.95515652483436,5.68013013072864,-3,40,3,2,5,15.04942513199,3.80175226939436,27.7550131940368,0.000460128452143094,1,-211.087637943034
51,0.0123557058576111,2,2,8.95515652483436,5.68013013072864,-3,40,3,2,5,15.04942513199,3.80175226939436,27.7550131940368,0.000460128452143094,1,-211.087637943034
61,0.0123557058576111,2,2,8.95515652483436,5.68013013072864,-3,40,3,2,5,15.04942513199,3.80175226939436,27.7550131940368,0.000460128452143094,1,-211.087637943034
71,0.0123557058576111,2,2,8.95515652483436,5.68013013072864,-3,40,3,2,5,15.04942513199,3.80175226939436,27.7550131940368,0.000460128452143094,1,-211.087637943034
81,-0.102571516767165,2,2,9.52512295830309,7.09514974722243,-3,40,3,2,5,19.6185992316163,4.13192478950933,26.6917129874569,0.0576393156521188,1,-216.138349004603
91,-0.0408689641698359,2,2,10.0683779778444,4.26409726059394,-3,40,3,2,5,16.098695806238,3.54025367378241,27.8402079311396,0.131237741412166,1,-214.965183317294
101,-0.0408689641698359,2,2,10.0683779778444,4.26409726059394,-3,40,3,2,5,16.098695806238,3.54025367378241,27.8402079311396,0.131237741412166,1,-214.965183317294
111,-0.0513393928006457,2,2,9.59717164406701,5.81564282603915,-3,40,3,2,5,15.2081468412781,3.20334868574051,22.4673203189145,0.248220660985896,1,-216.011869309994
121,-0.0513393928006457,2,2,9.59717164406701,5.81564282603915,-3,40,3,2,5,15.2081468412781,3.20334868574051,22.4673203189145,0.248220660985896,1,-216.011869309994
131,-0.0494896352563828,2,2,10.0068500510935,7.57398147856462,-3,40,3,2,5,15.7301040086302,3.60786444784933,32.0452729633909,0.0546948408602494,1,-213.990622630946
141,-0.05396547679161,2,2,9.98217484043658,8.32577899233969,-3,40,3,2,5,20.7006035512616,3.46717037087789,32.4603007282237,0.028027594397368,1,-215.300066272532
151,-0.05396547679161,2,2,9.98217484043658,8.32577899233969,-3,40,3,2,5,20.7006035512616,3.46717037087789,32.4603007282237,0.028027594397368,1,-215.300066272532
161,-0.05396547679161,2,2,9.98217484043658,8.32577899233969,-3,40,3,2,5,20.7006035512616,3.46717037087789,32.4603007282237,0.028027594397368,1,-215.300066272532
171,-0.0408140792721502,2,2,10.2109271359712,7.33838749705679,-3,40,3,2,5,16.852996252416,4.26589936598715,34.3347021839529,0.0902100787280663,1,-215.657099957597
181,-0.0283933941694557,2,2,8.08704853138396,9.92421949607451,-3,40,3,2,5,14.3181095607457,3.92607768138878,27.5183024904005,0.108210357544397,1,-215.78018020835
191,-0.0283933941694557,2,2,8.08704853138396,9.92421949607451,-3,40,3,2,5,14.3181095607457,3.92607768138878,27.5183024904005,0.108210357544397,1,-215.78018020835
201,0.232275246094024,2,2,5.97580096636825,9.38555086525866,-3,40,3,2,5,8.76995391589863,3.16011894334146,27.9568363583094,0.0721847738050666,1,-218.703748916103
211,0.315919898332414,2,2,6.9684694977218,8.92287138363389,-3,40,3,2,5,17.7894408062377,3.31591064963585,16.3913971416005,0.118964927595735,1,-220.571438357231
221,0.479908085817916,2,2,6.14243978229344,7.81449920592538,-3,40,3,2,5,16.104377787008,3.87991929389784,18.6074209752148,0.0344003168162102,1,-217.945835660739
231,0.367039230814562,2,2,6.02717564567191,8.2116509344405,-3,40,3,2,5,20.0120031774253,3.94134363884974,22.4624310746307,0.0113294283203683,1,-216.731208129873
241,0.367039230814562,2,2,6.02717564567191,8.2116509344405,-3,40,3,2,5,20.0120031774253,3.94134363884974,22.4624310746307,0.0113294283203683,1,-216.731208129873
251,0.367039230814562,2,2,6.02717564567191,8.2116509344405,-3,40,3,2,5,20.0120031774253,3.94134363884974,22.4624310746307,0.0113294283203683,1,-216.731208129873
261,0.367039230814562,2,2,6.02717564567191,8.2116509344405,-3,40,3,2,5,20.0120031774253,3.94134363884974,22.4624310746307,0.0113294283203683,1,-216.731208129873
271,0.367039230814562,2,2,6.02717564567191,8.2116509344405,-3,40,3,2,5,20.0120031774253,3.94134363884974,22.4624310746307,0.0113294283203683,1,-216.731208129873
281,0.367039230814562,2,2,6.02717564567191,8.2116509344405,-3,40,3,2,5,20.0120031774253,3.94134363884974,22.4624310746307,0.0113294283203683,1,-216.731208129873
291,0.483698239777304,2,2,5.73659301855138,9.88947868355025,-3,40,3,2,5,18.3458374907338,3.34769966748854,21.1399171043088,0.0264341952230117,1,-217.190141103459
301,0.43994117632849,2,2,6.61205120823281,9.27250719999751,-3,40,3,2,5,18.4634796775833,3.28682618222581,18.5763120387274,0.00168955026699693,1,-217.675721710295
311,0.343919724454905,2,2,7.11306244754461,7.13548888426795,-3,40,3,2,5,12.391276506601,3.28576992736441,25.4071348805128,0.0735725518937853,1,-216.255843989052
321,0.0525325959016565,2,2,7.4076316716491,8.68856636934308,-3,40,3,2,5,18.7357371009607,4.25458088425002,23.731886149273,0.0330257767375753,1,-215.903182412044
331,0.0860971427038274,2,2,6.14587064027134,7.52449904287489,-3,40,3,2,5,11.5317420863024,4.47896741763754,24.7760162016153,0.101194259057864,1,-221.17833506842
341,0.0500398097939206,2,2,7.23083375596095,6.93353353327568,-3,40,3,2,5,13.3979900665087,4.42357454569783,17.0833354825087,0.167550198704056,1,-219.94600788448
351,-0.0192973097008442,2,2,8.02672323914488,5.51273325701713,-3,40,3,2,5,13.9435184376371,3.64729964070417,26.6644054205246,0.226137507066554,1,-215.813904503452
361,-0.0308973298470737,2,2,8.53182381922156,4.78125066830674,-3,40,3,2,5,15.4861581006305,4.19877222487255,29.3213264283384,0.26930758809835,1,-215.741816410218
371,-0.0489868729316781,2,2,9.30605489507276,4.78338465117105,-3,40,3,2,5,16.1766261694627,4.13383321052537,26.8395668129094,0.245912370083904,1,-214.367342811883
381,-0.0489868729316781,2,2,9.30605489507276,4.78338465117105,-3,40,3,2,5,16.1766261694627,4.13383321052537,26.8395668129094,0.245912370083904,1,-214.367342811883
