institution,R0,sigma,gamma,t0,N,I0,recovered0,infectious,incubation,name
NH 1,5.35217527582729,0.15590573803483,0.113781587523402,2020-03-05,1,0.0025,0,8.788768216072967,6.414132107033776,NH 1
NH 2,2.67307616947571,0.246568471183575,0.146091709694403,2020-02-15,1,0.0025,0,6.845015381720264,4.055668574330741,NH 2
NH 3,2.88894960521583,0.278523810413203,0.154224673038762,2020-03-03,1,0.0025,0,6.484046814926074,3.590357314573765,NH 3
NH 4,2.7253642820129,0.243826886511598,0.141023127242373,2020-02-26,1,0.0025,0,7.091035488677856,4.101270431275566,NH 4
Prior,5.73403392374403,0.237393290665091,0.139401722994225,2020-01-11,1,0.0025,0,7.1735124826357195,4.212418966005139,Prior
