"sampno","beta","tshift","desired_mode","viral_peak","obs_sd","true_0","intercept","LOD","limit_quantification","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,-0.163777368701994,2,2,4.04057694040239,5.51048524747603,-3,40,3,2,5,20.3196200774983,14.6590207149275,31.5347846224904,0.0649386324523948,1,-2296.24197544564
11,-0.355929672878477,2,2,4.0632578059552,5.57365791268288,-3,40,3,2,5,20.2593069674007,14.5877566474564,31.3958317616521,0.0649386324523948,1,-2261.3751860099
21,-0.355929672878477,2,2,4.13609875177619,5.62744137510867,-3,40,3,2,5,20.1397969068203,14.3624391861398,31.3958317616521,0.0649386324523948,1,-2201.11843331175
31,-0.399319827670197,2,2,4.19827499468774,5.62744137510867,-3,40,3,2,5,20.1397969068203,14.3624391861398,31.2718757519009,0.0649386324523948,1,-2180.72840877853
41,-0.399319827670197,2,2,4.19784539276691,5.70116958874523,-3,40,3,2,5,20.0226900368848,14.3636180813986,31.2718757519009,0.0449549998975877,1,-2155.25207184338
51,-0.408941644575599,2,2,4.1041536914496,5.70116958874523,-3,40,3,2,5,20.0226900368848,14.2246865213958,31.0373274504469,0.0449549998975877,1,-2120.7265713211
61,-0.408941644575599,2,2,3.99121971235629,5.7153220240597,-3,40,3,2,5,19.9251415305498,14.2246865213958,30.9458150862386,0.0313537048990243,1,-2105.0510655935
71,-0.408941644575599,2,2,4.01871682975975,5.7153220240597,-3,40,3,2,5,19.9251415305498,14.2202055937833,30.8923302229309,0.0313537048990243,1,-2102.9831872296
81,-0.408941644575599,2,2,3.98755863487092,5.84561596766305,-3,40,3,2,5,19.9251415305498,14.2202055937833,30.807107058275,0.0313537048990243,1,-2087.3883501832
91,-0.4253361514558,2,2,4.06806937468618,5.85412124031886,-3,40,3,2,5,19.9287039561234,14.2175561937345,30.7324965094924,0.0313537048990243,1,-2079.5323390084
101,-0.4253361514558,2,2,4.15571381115989,5.9322147929105,-3,40,3,2,5,19.9287039561234,14.2175561937345,30.6649845604147,0.0313537048990243,1,-2070.31227459234
111,-0.4253361514558,2,2,4.15571381115989,6.15343164913617,-3,40,3,2,5,19.7817593164804,14.1742126077504,30.6649845604147,0.0313537048990243,1,-2032.81196788773
121,-0.4253361514558,2,2,4.15571381115989,6.16070386309273,-3,40,3,2,5,19.7817593164804,14.1742106754494,30.7730394196839,0.0323122199327959,1,-2034.8310467329
131,-0.4253361514558,2,2,12.8218051130561,6.24912157272471,-3,40,3,2,5,19.7017093712973,14.1742106754494,30.5692686661474,0.0323122199327959,1,-2018.18226283881
141,-0.454701359548743,2,2,12.8218051130561,6.24912157272471,-3,40,3,2,5,19.6290223688838,14.107717138282,30.5692686661474,0.0323122199327959,1,-1994.27550115448
151,-0.454701359548743,2,2,10.8370839076795,6.24912157272471,-3,40,3,2,5,19.4062376197648,14.107717138282,30.3983352710949,0.0323122199327959,1,-1975.28733937708
161,-0.454701359548743,2,2,10.3047604382892,6.37329521210089,-3,40,3,2,5,19.40672654097,13.9751919970688,30.3417314486369,0.0323122199327959,1,-1944.59215768457
171,-0.454701359548743,2,2,10.3047604382892,6.48624365806862,-3,40,3,2,5,19.40672654097,13.9751919970688,30.3855907162221,0.0323122199327959,1,-1938.30418175801
181,-0.477705237705354,2,2,10.3047604382892,6.59420038607693,-3,40,3,2,5,19.3280429439162,13.8006924079508,30.2673284179917,0.0323122199327959,1,-1893.35618845074
191,-0.478502629190045,2,2,8.21079872556721,6.59420038607693,-3,40,3,2,5,19.3280429439162,13.8006924079508,30.2494874129633,0.0268796181114384,1,-1891.4291994362
201,-0.491393137880627,2,2,7.58202057356083,6.60961550847765,-3,40,3,2,5,19.1702452323559,13.8006924079508,29.97861627013,0.0268796181114384,1,-1873.42746840556
211,-0.491393137880627,2,2,5.99097615221339,6.81558271458024,-3,40,3,2,5,19.1702452323559,13.8006924079508,29.9469150462165,0.0268796181114384,1,-1863.25300324509
221,-0.491393137880627,2,2,6.15889047345585,6.81558271458024,-3,40,3,2,5,19.1230919488036,13.8006924079508,29.2385565592149,0.0146301121556594,1,-1843.81538892132
231,-0.491393137880627,2,2,6.15889047345585,6.88784632324145,-3,40,3,2,5,18.8584826479082,13.7007536772291,28.9538965379094,0.0146301121556594,1,-1807.28836235507
241,-0.491393137880627,2,2,6.65339251860595,7.00761403858542,-3,40,3,2,5,18.8584826479082,13.6987907594166,28.6811749098466,0.00657445024767675,1,-1795.61352293353
251,-0.491393137880627,2,2,6.65339251860595,7.02299317651106,-3,40,3,2,5,18.6541778528818,13.6210960630487,28.431959266389,0.00657445024767675,1,-1769.73018393788
261,-0.484738956951548,2,2,6.65339251860595,7.03585009665838,-3,40,3,2,5,18.5648692278119,13.6210960630487,28.431959266389,0.00657445024767675,1,-1765.94820091851
271,-0.484738956951548,2,2,7.12193657313641,7.24726210402566,-3,40,3,2,5,18.3795616812998,13.6088347989394,28.1018022731899,0.0059668779049771,1,-1743.10619255464
281,-0.484738956951548,2,2,7.12193657313641,7.61452948309385,-3,40,3,2,5,18.1772365559131,13.6128121588078,27.8968583864028,0.0059668779049771,1,-1722.96610233066
291,-0.484738956951548,2,2,5.46250252051144,7.5899586922069,-3,40,3,2,5,18.1772365559131,13.5514525425951,27.657370180343,0.0059668779049771,1,-1712.64923868375
