"sampno","beta","tshift","desired_mode","viral_peak","obs_sd","true_0","intercept","LOD","limit_quantification","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,0.187881318479776,2,2,9.56644470989704,8.44999010954052,-3,40,3,2,5,10.943344021216,13.0993403105531,13.319334089756,0.0236736631346866,1,-635.309646431819
11,-0.034005329632067,2,2,9.50557416687169,8.72641588896324,-3,40,3,2,5,10.7295390646014,12.9324392907348,13.2222875620296,0.0236736631346866,1,-601.854263752411
21,-0.034005329632067,2,2,9.46892163821263,8.91363642979005,-3,40,3,2,5,10.8378312866469,12.7714630993552,13.384054568114,0.0236736631346866,1,-593.738505871776
31,-0.034005329632067,2,2,9.51010369037613,8.72107182834764,-3,40,3,2,5,10.740263652244,12.6161748488012,13.355533321748,0.0236736631346866,1,-586.68965731541
41,-0.0892086520751327,2,2,9.49613378774624,8.74503776160387,-3,40,3,2,5,10.7008133206673,12.6095811060459,13.3705129947657,0.0236736631346866,1,-564.750417436035
51,-0.128549221702074,2,2,9.54014664665519,8.84557617113782,-3,40,3,2,5,10.7750040134742,12.5804277659836,13.4277901819066,0.0236736631346866,1,-550.327937247401
61,-0.147344319211472,2,2,9.54879410671324,8.89016815757302,-3,40,3,2,5,10.9080057435395,12.5804277659836,13.6077554076488,0.0236736631346866,1,-544.538315826574
71,-0.147344319211472,2,2,9.540879621281,8.93010384467393,-3,40,3,2,5,10.7861392866795,12.5859331252051,13.4878858239739,0.0236736631346866,1,-545.204542958453
81,-0.285959894793321,2,2,9.49604171428767,8.68389678569268,-3,40,3,2,5,10.9200859354279,12.5859331252051,13.3277744607791,0.0236736631346866,1,-527.839060645865
91,-0.285959894793321,2,2,9.60339135287815,8.73956678977622,-3,40,3,2,5,11.1283711925243,12.3951757462863,13.2853035736536,0.0236736631346866,1,-520.922798892353
101,-0.285959894793321,2,2,9.55804823363499,8.80667706046499,-3,40,3,2,5,10.9460118578974,12.3951757462863,13.2072505682341,0.0351544436456361,1,-521.477842366833
111,-0.285959894793321,2,2,8.36364082695532,8.43043621183739,-3,40,3,2,5,10.1351526985887,12.3951757462863,13.7668267894111,0.0507361175688619,1,-521.327063740726
121,-0.331999461131818,2,2,8.20089101617072,8.43043621183739,-3,40,3,2,5,10.1265809445173,12.4211377164208,12.1031848573845,0.0234107927871704,1,-523.052645912423
131,-0.326561952700205,2,2,8.23199282193526,9.74165556071708,-3,40,3,2,5,9.69619402237761,12.4211377164208,12.1031848573845,0.0234107927871704,1,-524.415443249797
141,-0.295233445852698,2,2,8.61908313692902,9.74165556071708,-3,40,3,2,5,9.3386094475321,12.4211377164208,12.8632539246233,0.0234107927871704,1,-524.05157479667
151,-0.29203078751675,2,2,8.92046291222211,9.74165556071708,-3,40,3,2,5,9.38628603411654,12.3932522958501,12.9508991140805,0.0431515647004934,1,-523.583460700652
161,-0.29203078751675,2,2,9.14868325620322,9.00212497750529,-3,40,3,2,5,10.4426548907951,12.389915933444,15.4430471227272,0.0322527762510326,1,-519.153844950037
171,-0.29203078751675,2,2,8.8993225779444,9.00212497750529,-3,40,3,2,5,10.5380465438824,12.2321646620287,15.3086321300313,0.0230680588818416,1,-513.93591148962
181,-0.243120607542276,2,2,9.53238368070106,9.00212497750529,-3,40,3,2,5,10.8845505689335,12.0945129162957,15.3086321300313,0.0230680588818416,1,-508.321612508664
191,-0.253522276050097,2,2,9.53238368070106,7.92083802785872,-3,40,3,2,5,10.8004931525104,12.0945129162957,14.7979380147394,0.0230680588818416,1,-508.674309467114
201,-0.253522276050097,2,2,9.19309537679468,6.43299332963531,-3,40,3,2,5,11.7107957187334,12.0945129162957,14.7979380147394,0.0230680588818416,1,-507.692833122153
211,-0.253522276050097,2,2,9.19309537679468,9.81023121174761,-3,40,3,2,5,11.7107957187334,12.1180800893947,15.6191649929046,0.0230680588818416,1,-507.739431599464
221,-0.268204942849128,2,2,11.6791915805639,7.75851586640994,-3,40,3,2,5,11.7107957187334,12.1180800893947,15.6191649929046,0.0230680588818416,1,-507.938716902867
231,-0.268204942849128,2,2,10.3862316961352,8.77122250404537,-3,40,3,2,5,11.7107957187334,12.0947109945473,15.3936060656988,0.0230680588818416,1,-506.922098521123
241,-0.268204942849128,2,2,12.6153759292862,8.77122250404537,-3,40,3,2,5,11.7107957187334,12.0947109945473,15.3936060656988,0.0158329308653209,1,-507.658007546626
251,-0.268204942849128,2,2,6.25685711262393,8.77122250404537,-3,40,3,2,5,11.7107957187334,12.0947109945473,17.3228003885346,0.0158329308653209,1,-503.025109196378
261,-0.272007333726234,2,2,6.25685711262393,8.77122250404537,-3,40,3,2,5,11.7107957187334,12.0947109945473,17.3228003885346,0.00216903461061391,1,-502.544010864736
271,-0.272007333726234,2,2,11.218921814996,8.77122250404537,-3,40,3,2,5,12.9912716953945,12.0947109945473,17.8464789201073,0.00216903461061391,1,-500.792553575038
281,-0.272007333726234,2,2,11.218921814996,6.96664325018703,-3,40,3,2,5,14.7149926790672,12.0472235198877,17.1941900481049,0.000895376186292683,1,-498.263321012655
291,-0.230190372354069,2,2,5.01526924078576,5.30347291443013,-3,40,3,2,5,14.7149926790672,12.0472235198877,16.9395246096832,0.000895376186292683,1,-499.472411609909
301,-0.244227778811839,2,2,5.01526924078576,5.30347291443013,-3,40,3,2,5,14.7149926790672,12.0402145053733,17.785844286586,0.000895376186292683,1,-498.35179384756
311,-0.244227778811839,2,2,5.01526924078576,5.30347291443013,-3,40,3,2,5,14.7149926790672,12.0402145053733,16.905080328166,0.000895376186292683,1,-498.793016953685
321,-0.270228307559406,2,2,5.01526924078576,6.25664353950918,-3,40,3,2,5,14.7149926790672,12.0660553882051,16.905080328166,0.000895376186292683,1,-499.083270257289
